Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree
81715146263,81715170971,24708,0,24708,NCCL:ncclGroupEnd,1114947,1114947,1,0,28701,25768,:25768:28701,--NCCL:ncclGroupEnd
81715146724,81715149690,2966,0,2966,NCCL:ncclReduceScatter,1114946,1114946,1,0,28702,25593,:25593:28702,--NCCL:ncclReduceScatter
81715150431,81715175870,25439,0,25439,NCCL:ncclGroupEnd,1114946,1114946,1,0,28703,25593,:25593:28703,--NCCL:ncclGroupEnd
81716993785,81716994617,832,0,832,NCCL:ncclGroupStart,1114948,1114948,1,0,28704,25594,:25594:28704,--NCCL:ncclGroupStart
81716995167,81716998153,2986,0,2986,NCCL:ncclAllGather,1114948,1114948,1,0,28705,25594,:25594:28705,--NCCL:ncclAllGather
81717001840,81717028622,26782,0,26782,NCCL:ncclGroupEnd,1114948,1114948,1,0,28706,25594,:25594:28706,--NCCL:ncclGroupEnd
81717047318,81717048190,872,0,872,NCCL:ncclGroupStart,1114945,1114945,1,0,28707,25592,:25592:28707,--NCCL:ncclGroupStart
81717048891,81717054322,5431,0,5431,NCCL:ncclAllGather,1114945,1114945,1,0,28708,25592,:25592:28708,--NCCL:ncclAllGather
81717054673,81717078809,24136,0,24136,NCCL:ncclGroupEnd,1114945,1114945,1,0,28709,25592,:25592:28709,--NCCL:ncclGroupEnd
81717090652,81717091404,752,0,752,NCCL:ncclGroupStart,1114947,1114947,1,0,28710,25768,:25768:28710,--NCCL:ncclGroupStart
81717092095,81717095181,3086,0,3086,NCCL:ncclAllGather,1114947,1114947,1,0,28711,25768,:25768:28711,--NCCL:ncclAllGather
81717098627,81717123145,24518,0,24518,NCCL:ncclGroupEnd,1114947,1114947,1,0,28712,25768,:25768:28712,--NCCL:ncclGroupEnd
81717106573,81717107384,811,0,811,NCCL:ncclGroupStart,1114946,1114946,1,0,28713,25593,:25593:28713,--NCCL:ncclGroupStart
81717108406,81717114328,5922,0,5922,NCCL:ncclAllGather,1114946,1114946,1,0,28714,25593,:25593:28714,--NCCL:ncclAllGather
81717114899,81717140118,25219,0,25219,NCCL:ncclGroupEnd,1114946,1114946,1,0,28715,25593,:25593:28715,--NCCL:ncclGroupEnd
81726802527,81726803429,902,0,902,NCCL:ncclGroupStart,1114948,1114948,1,0,28716,25594,:25594:28716,--NCCL:ncclGroupStart
81726804341,81726807347,3006,0,3006,NCCL:ncclReduceScatter,1114948,1114948,1,0,28717,25594,:25594:28717,--NCCL:ncclReduceScatter
81726807928,81726831603,23675,0,23675,NCCL:ncclGroupEnd,1114948,1114948,1,0,28718,25594,:25594:28718,--NCCL:ncclGroupEnd
81726840140,81726841362,1222,0,1222,NCCL:ncclGroupStart,1114945,1114945,1,0,28719,25592,:25592:28719,--NCCL:ncclGroupStart
81726842484,81726846793,4309,0,4309,NCCL:ncclReduceScatter,1114945,1114945,1,0,28720,25592,:25592:28720,--NCCL:ncclReduceScatter
81726847604,81726873264,25660,0,25660,NCCL:ncclGroupEnd,1114945,1114945,1,0,28721,25592,:25592:28721,--NCCL:ncclGroupEnd
81726905917,81726906959,1042,0,1042,NCCL:ncclGroupStart,1114947,1114947,1,0,28722,25768,:25768:28722,--NCCL:ncclGroupStart
81726908121,81726911538,3417,0,3417,NCCL:ncclReduceScatter,1114947,1114947,1,0,28723,25768,:25768:28723,--NCCL:ncclReduceScatter
81726912279,81726936426,24147,0,24147,NCCL:ncclGroupEnd,1114947,1114947,1,0,28724,25768,:25768:28724,--NCCL:ncclGroupEnd
81726961144,81726962176,1032,0,1032,NCCL:ncclGroupStart,1114946,1114946,1,0,28725,25593,:25593:28725,--NCCL:ncclGroupStart
81726963068,81726966494,3426,0,3426,NCCL:ncclReduceScatter,1114946,1114946,1,0,28726,25593,:25593:28726,--NCCL:ncclReduceScatter
81726967135,81726990861,23726,0,23726,NCCL:ncclGroupEnd,1114946,1114946,1,0,28727,25593,:25593:28727,--NCCL:ncclGroupEnd
81728313659,81728314500,841,0,841,NCCL:ncclGroupStart,1114948,1114948,1,0,28728,25594,:25594:28728,--NCCL:ncclGroupStart
81728315091,81728317997,2906,0,2906,NCCL:ncclAllGather,1114948,1114948,1,0,28729,25594,:25594:28729,--NCCL:ncclAllGather
81728318518,81728345290,26772,0,26772,NCCL:ncclGroupEnd,1114948,1114948,1,0,28730,25594,:25594:28730,--NCCL:ncclGroupEnd
81728336773,81728337635,862,0,862,NCCL:ncclGroupStart,1114945,1114945,1,0,28731,25592,:25592:28731,--NCCL:ncclGroupStart
81728338276,81728341212,2936,0,2936,NCCL:ncclAllGather,1114945,1114945,1,0,28732,25592,:25592:28732,--NCCL:ncclAllGather
81728342174,81728368775,26601,0,26601,NCCL:ncclGroupEnd,1114945,1114945,1,0,28733,25592,:25592:28733,--NCCL:ncclGroupEnd
81728443559,81728444381,822,0,822,NCCL:ncclGroupStart,1114947,1114947,1,0,28734,25768,:25768:28734,--NCCL:ncclGroupStart
81728445022,81728448118,3096,0,3096,NCCL:ncclAllGather,1114947,1114947,1,0,28735,25768,:25768:28735,--NCCL:ncclAllGather
81728448790,81728475962,27172,0,27172,NCCL:ncclGroupEnd,1114947,1114947,1,0,28736,25768,:25768:28736,--NCCL:ncclGroupEnd
81728489047,81728490049,1002,0,1002,NCCL:ncclGroupStart,1114946,1114946,1,0,28737,25593,:25593:28737,--NCCL:ncclGroupStart
81728490681,81728493496,2815,0,2815,NCCL:ncclAllGather,1114946,1114946,1,0,28738,25593,:25593:28738,--NCCL:ncclAllGather
81728494027,81728519857,25830,0,25830,NCCL:ncclGroupEnd,1114946,1114946,1,0,28739,25593,:25593:28739,--NCCL:ncclGroupEnd
81735507546,81735508508,962,0,962,NCCL:ncclGroupStart,1114948,1114948,1,0,28740,25594,:25594:28740,--NCCL:ncclGroupStart
81735510541,81735519519,8978,0,8978,NCCL:ncclReduceScatter,1114948,1114948,1,0,28741,25594,:25594:28741,--NCCL:ncclReduceScatter
81735521483,81735548936,27453,0,27453,NCCL:ncclGroupEnd,1114948,1114948,1,0,28742,25594,:25594:28742,--NCCL:ncclGroupEnd
81735543996,81735545309,1313,0,1313,NCCL:ncclGroupStart,1114947,1114947,1,0,28743,25768,:25768:28743,--NCCL:ncclGroupStart
81735546201,81735549437,3236,0,3236,NCCL:ncclReduceScatter,1114947,1114947,1,0,28744,25768,:25768:28744,--NCCL:ncclReduceScatter
81735550068,81735577270,27202,0,27202,NCCL:ncclGroupEnd,1114947,1114947,1,0,28745,25768,:25768:28745,--NCCL:ncclGroupEnd
81735559827,81735560678,851,0,851,NCCL:ncclGroupStart,1114946,1114946,1,0,28746,25593,:25593:28746,--NCCL:ncclGroupStart
81735561610,81735565708,4098,0,4098,NCCL:ncclReduceScatter,1114946,1114946,1,0,28747,25593,:25593:28747,--NCCL:ncclReduceScatter
81735566279,81735593161,26882,0,26882,NCCL:ncclGroupEnd,1114946,1114946,1,0,28748,25593,:25593:28748,--NCCL:ncclGroupEnd
81735575678,81735576629,951,0,951,NCCL:ncclGroupStart,1114945,1114945,1,0,28749,25592,:25592:28749,--NCCL:ncclGroupStart
81735577371,81735580376,3005,0,3005,NCCL:ncclReduceScatter,1114945,1114945,1,0,28750,25592,:25592:28750,--NCCL:ncclReduceScatter
81735581128,81735606948,25820,0,25820,NCCL:ncclGroupEnd,1114945,1114945,1,0,28751,25592,:25592:28751,--NCCL:ncclGroupEnd
81745361115,81745362227,1112,0,1112,NCCL:ncclGroupStart,1114945,1114945,1,0,28752,25592,:25592:28752,--NCCL:ncclGroupStart
81745363008,81745366686,3678,0,3678,NCCL:ncclAllGather,1114945,1114945,1,0,28753,25592,:25592:28753,--NCCL:ncclAllGather
81745367136,81745396583,29447,0,29447,NCCL:ncclGroupEnd,1114945,1114945,1,0,28754,25592,:25592:28754,--NCCL:ncclGroupEnd
81745382316,81745383448,1132,0,1132,NCCL:ncclGroupStart,1114946,1114946,1,0,28755,25593,:25593:28755,--NCCL:ncclGroupStart
81745384189,81745388788,4599,0,4599,NCCL:ncclAllGather,1114946,1114946,1,0,28756,25593,:25593:28756,--NCCL:ncclAllGather
81745386834,81745387816,982,0,982,NCCL:ncclGroupStart,1114948,1114948,1,0,28757,25594,:25594:28757,--NCCL:ncclGroupStart
81745388608,81745392185,3577,0,3577,NCCL:ncclAllGather,1114948,1114948,1,0,28758,25594,:25594:28758,--NCCL:ncclAllGather
81745389259,81745415640,26381,0,26381,NCCL:ncclGroupEnd,1114946,1114946,1,0,28759,25593,:25593:28759,--NCCL:ncclGroupEnd
81745392616,81745420279,27663,0,27663,NCCL:ncclGroupEnd,1114948,1114948,1,0,28760,25594,:25594:28760,--NCCL:ncclGroupEnd
81745419037,81745420229,1192,0,1192,NCCL:ncclGroupStart,1114947,1114947,1,0,28761,25768,:25768:28761,--NCCL:ncclGroupStart
81745421031,81745425259,4228,0,4228,NCCL:ncclAllGather,1114947,1114947,1,0,28762,25768,:25768:28762,--NCCL:ncclAllGather
81745425740,81745455046,29306,0,29306,NCCL:ncclGroupEnd,1114947,1114947,1,0,28763,25768,:25768:28763,--NCCL:ncclGroupEnd
81749753296,81749756341,3045,0,3045,NCCL:ncclGroupStart,1114945,1114945,1,0,28764,25592,:25592:28764,--NCCL:ncclGroupStart
81749757243,81749760710,3467,0,3467,NCCL:ncclReduceScatter,1114945,1114945,1,0,28765,25592,:25592:28765,--NCCL:ncclReduceScatter
81749761211,81749786740,25529,0,25529,NCCL:ncclGroupEnd,1114945,1114945,1,0,28766,25592,:25592:28766,--NCCL:ncclGroupEnd
81749793063,81749796609,3546,0,3546,NCCL:ncclGroupStart,1114948,1114948,1,0,28767,25594,:25594:28767,--NCCL:ncclGroupStart
81749797631,81749801198,3567,0,3567,NCCL:ncclReduceScatter,1114948,1114948,1,0,28768,25594,:25594:28768,--NCCL:ncclReduceScatter
81749801789,81749827770,25981,0,25981,NCCL:ncclGroupEnd,1114948,1114948,1,0,28769,25594,:25594:28769,--NCCL:ncclGroupEnd
81749838931,81749842999,4068,0,4068,NCCL:ncclGroupStart,1114946,1114946,1,0,28770,25593,:25593:28770,--NCCL:ncclGroupStart
81749843901,81749847578,3677,0,3677,NCCL:ncclReduceScatter,1114946,1114946,1,0,28771,25593,:25593:28771,--NCCL:ncclReduceScatter
81749848069,81749873688,25619,0,25619,NCCL:ncclGroupEnd,1114946,1114946,1,0,28772,25593,:25593:28772,--NCCL:ncclGroupEnd
81749888717,81749892936,4219,0,4219,NCCL:ncclGroupStart,1114947,1114947,1,0,28773,25768,:25768:28773,--NCCL:ncclGroupStart
81749893918,81749897705,3787,0,3787,NCCL:ncclReduceScatter,1114947,1114947,1,0,28774,25768,:25768:28774,--NCCL:ncclReduceScatter
81749898426,81749923896,25470,0,25470,NCCL:ncclGroupEnd,1114947,1114947,1,0,28775,25768,:25768:28775,--NCCL:ncclGroupEnd
81759177214,81759182003,4789,0,4789,NCCL:ncclGroupStart,1114945,1114945,1,0,28776,25592,:25592:28776,--NCCL:ncclGroupStart
81759182805,81759186311,3506,0,3506,NCCL:ncclAllGather,1114945,1114945,1,0,28777,25592,:25592:28777,--NCCL:ncclAllGather
81759186772,81759217091,30319,0,30319,NCCL:ncclGroupEnd,1114945,1114945,1,0,28778,25592,:25592:28778,--NCCL:ncclGroupEnd
81759219977,81759225678,5701,0,5701,NCCL:ncclGroupStart,1114948,1114948,1,0,28779,25594,:25594:28779,--NCCL:ncclGroupStart
81759226559,81759230788,4229,0,4229,NCCL:ncclAllGather,1114948,1114948,1,0,28780,25594,:25594:28780,--NCCL:ncclAllGather
