iteration	parallelism_type	circuit_start_ts	circuit_end_ts	circuit_duration_ns	circuit_ranks	group_first_kernel_bytes	group_last_kernel_bytes
14	PP	6927310969427368	6927310975926893	6499525	[1, 5, 9, 13]	67108864	67108864
14	DP	6927310980019053	6927314434473282	3454454229	[9, 13, 1, 5, 1, 5]	4015521800	4015521800
14	PP	6927314435251932	6927314436834318	1582386	[1, 5, 9, 13]	8	8
15	DP	6927314471733352	6927315908677461	1436944109	[1, 5]	1003880448	1003880448
15	PP	6927315954152675	6927315970162074	16009399	[1, 5, 9, 13]	67108864	67108864
15	DP	6927315970991937	6927317209071473	1238079536	[9, 13]	1003884544	1003884544
15	PP	6927318570065702	6927318583887290	13821588	[1, 5, 9, 13]	67108864	67108864
15	DP	6927320575674159	6927323153823527	2578149368	[9, 13]	4015538176	4015538176
15	PP	6927323153835047	6927323163599390	9764343	[1, 5, 9, 13]	67108864	67108864
15	DP	6927323167044188	6927326696313233	3529269045	[9, 13, 1, 5, 1, 5]	4015521800	4015521800
15	PP	6927326767516688	6927326768735904	1219216	[1, 5, 9, 13]	8	8
16	DP	6927326783096532	6927328222576417	1439479885	[1, 5]	1003880448	1003880448
16	PP	6927328299031495	6927328313739817	14708322	[1, 5, 9, 13]	67108864	67108864
16	DP	6927328314809239	6927329559656261	1244847022	[9, 13]	1003884544	1003884544
16	PP	6927330932627807	6927330945585747	12957940	[1, 5, 9, 13]	67108864	67108864
16	DP	6927332937183827	6927335822855471	2885671644	[9, 13]	4015538176	4015538176
16	PP	6927335822859150	6927335829857971	6998821	[1, 5, 9, 13]	67108864	67108864
16	DP	6927335833693809	6927339334979208	3501285399	[9, 13, 1, 5, 1, 5]	4015521800	4015521800
16	PP	6927339335827606	6927339336873566	1045960	[1, 5, 9, 13]	8	8
17	DP	6927339384039396	6927340841088593	1457049197	[1, 5]	1003880448	1003880448
17	PP	6927340886550912	6927340899617478	13066566	[1, 5, 9, 13]	67108864	67108864
17	DP	6927340900293797	6927342166329935	1266036138	[9, 13]	1003884544	1003884544
17	PP	6927343505585259	6927343519564331	13979072	[1, 5, 9, 13]	67108864	67108864
17	DP	6927345512751680	6927348379470549	2866718869	[9, 13]	4015538176	4015538176
17	PP	6927348380566479	6927348386419693	5853214	[1, 5, 9, 13]	67108864	67108864
17	DP	6927348388764576	6927351839334730	3450570154	[9, 13, 1, 5, 1, 5]	4015521800	4015521800
17	PP	6927351840098789	6927351842082325	1983536	[1, 5, 9, 13]	8	8
18	DP	6927351879955179	6927353322850253	1442895074	[1, 5]	1003880448	1003880448
18	PP	6927353368406309	6927353383102031	14695722	[1, 5, 9, 13]	67108864	67108864
18	DP	6927353383241645	6927354634539794	1251298149	[9, 13]	1003884544	1003884544
18	PP	6927355997813737	6927356012353628	14539891	[1, 5, 9, 13]	67108864	67108864
18	DP	6927358005445189	6927360730085482	2724640293	[9, 13]	4015538176	4015538176
18	PP	6927360730632521	6927360738761274	8128753	[1, 5, 9, 13]	67108864	67108864
18	DP	6927360741673832	6927364069933255	3328259423	[9, 13, 1, 5, 1, 5]	4015521800	4015521800
