iteration,parallelism_type,start_ts,end_ts,duration_ns,kernel_name,collective_name,in_msg_nelems,group_desc,group_ranks,bytes
13,DP,6927300568742925.0,6927300677801731.0,109058806,ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>),_reduce_scatter_base,54534144.0,mesh_dp_shard,"[0, 4]",218136576
13,DP,6927300000000000.0,6927300787659254.0,109501524,ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>),_reduce_scatter_base,54534144.0,mesh_dp_shard,"[0, 4]",218136576
13,DP,6927300788008532.0,6927300895894609.0,107886077,ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>),_reduce_scatter_base,54534144.0,mesh_dp_shard,"[0, 4]",218136576
13,DP,6927300896258319.0,6927301007831833.0,111573514,ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>),_reduce_scatter_base,54534144.0,mesh_dp_shard,"[0, 4]",218136576
13,DP,6927301008181687.0,6927300000000000.0,108706393,ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>),_reduce_scatter_base,54534144.0,mesh_dp_shard,"[0, 4]",218136576
13,DP,6927301117241486.0,6927301224335407.0,107093921,ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>),_reduce_scatter_base,54534144.0,mesh_dp_shard,"[0, 4]",218136576
13,DP,6927301224699277.0,6927300000000000.0,110217713,ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>),_reduce_scatter_base,54534144.0,mesh_dp_shard,"[0, 4]",218136576
13,DP,6927301335273372.0,6927301443147065.0,107873693,ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>),_reduce_scatter_base,54534144.0,mesh_dp_shard,"[0, 4]",218136576
13,DP,6927301443501207.0,6927301552721901.0,109220694,ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>),_reduce_scatter_base,54534144.0,mesh_dp_shard,"[0, 4]",218136576
13,DP,6927301553075052.0,6927301661249383.0,108174331,ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>),_reduce_scatter_base,54534144.0,mesh_dp_shard,"[0, 4]",218136576
13,DP,6927301661595429.0,6927301769804896.0,108209467,ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>),_reduce_scatter_base,54534144.0,mesh_dp_shard,"[0, 4]",218136576
13,DP,6927301779872941.0,6927301893116335.0,113243394,ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>),_reduce_scatter_base,54534144.0,mesh_dp_shard,"[0, 4]",218136576
13,DP,6927301900023948.0,6927302008435685.0,108411737,ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>),_reduce_scatter_base,54534144.0,mesh_dp_shard,"[0, 4]",218136576
13,DP,6927302018874256.0,6927302019891564.0,1017308,ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>),allreduce,1.0,mesh_dp_shard,"[0, 4]",4
13,PP,6927302127410664.0,6927302127419881.0,9217,ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>),allreduce,1.0,mesh_pp,"[0, 8]",4
14,DP,6927300000000000.0,6927302297835848.0,154691858,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),_allgather_base,65667072.0,mesh_dp_shard,"[0, 4]",262668288
14,DP,6927300000000000.0,6927302358006443.0,60169283,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),_allgather_base,27267072.0,mesh_dp_shard,"[0, 4]",109068288
14,DP,6927302358008716.0,6927302435769778.0,77761062,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),_allgather_base,27267072.0,mesh_dp_shard,"[0, 4]",109068288
14,DP,6927300000000000.0,6927300000000000.0,85986300,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),_allgather_base,27267072.0,mesh_dp_shard,"[0, 4]",109068288
14,DP,6927302521783406.0,6927302607106189.0,85322783,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),_allgather_base,27267072.0,mesh_dp_shard,"[0, 4]",109068288
14,DP,6927302607136205.0,6927302690357079.0,83220874,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),_allgather_base,27267072.0,mesh_dp_shard,"[0, 4]",109068288
14,DP,6927302690361207.0,6927302773368098.0,83006891,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),_allgather_base,27267072.0,mesh_dp_shard,"[0, 4]",109068288
14,DP,6927302773370211.0,6927302859178431.0,85808220,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),_allgather_base,27267072.0,mesh_dp_shard,"[0, 4]",109068288
14,DP,6927302859180095.0,6927302942643688.0,83463593,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),_allgather_base,27267072.0,mesh_dp_shard,"[0, 4]",109068288
14,DP,6927302942646376.0,6927303025428341.0,82781965,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),_allgather_base,27267072.0,mesh_dp_shard,"[0, 4]",109068288
14,DP,6927303025430421.0,6927303110877747.0,85447326,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),_allgather_base,27267072.0,mesh_dp_shard,"[0, 4]",109068288
14,DP,6927303110882451.0,6927303192721509.0,81839058,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),_allgather_base,27267072.0,mesh_dp_shard,"[0, 4]",109068288
14,DP,6927303192725924.0,6927303275381297.0,82655373,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),_allgather_base,27267072.0,mesh_dp_shard,"[0, 4]",109068288
14,DP,6927303275386674.0,6927303359817973.0,84431299,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),_allgather_base,27267072.0,mesh_dp_shard,"[0, 4]",109068288
14,DP,6927303359822613.0,6927303443903963.0,84081350,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),_allgather_base,27267072.0,mesh_dp_shard,"[0, 4]",109068288
14,DP,6927303443906875.0,6927303526024043.0,82117168,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),_allgather_base,27267072.0,mesh_dp_shard,"[0, 4]",109068288
14,DP,6927303526026251.0,6927303606922178.0,80895927,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),_allgather_base,27267072.0,mesh_dp_shard,"[0, 4]",109068288
14,PP,6927303652378354.0,6927303662348286.0,9969932,ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<4096ul>),,,,,33554432
14,PP,6927304395889899.0,6927306275571242.0,1879681343,ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<4096ul>),,,,,33554432
14,PP,6927307489333035.0,6927310000000000.0,3607894965,ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<4096ul>),,,,,33554432
14,DP,6927312319401916.0,6927312582278515.0,262876599,ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>),_reduce_scatter_base,131334144.0,mesh_dp_shard,"[0, 4]",525336576
14,DP,6927310000000000.0,6927312692796599.0,110150789,ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>),_reduce_scatter_base,54534144.0,mesh_dp_shard,"[0, 4]",218136576
14,DP,6927312693149653.0,6927312801697505.0,108547852,ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>),_reduce_scatter_base,54534144.0,mesh_dp_shard,"[0, 4]",218136576
14,DP,6927312802074655.0,6927312913747548.0,111672893,ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>),_reduce_scatter_base,54534144.0,mesh_dp_shard,"[0, 4]",218136576
14,DP,6927312914104059.0,6927313022463784.0,108359725,ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>),_reduce_scatter_base,54534144.0,mesh_dp_shard,"[0, 4]",218136576
