rank	iteration	window_type	wind_start_ts	wind_end_ts	wind_duration_ns	kernel_before_bytes	kernel_after_bytes
3	17	pp-dp	6927351839304964	6927351855226418	15921454	4	131334144
3	18	dp-pp	6927353214195872	6927353368329723	154133851	54534144	33554432
3	18	pp-dp	6927360617316460	6927361995130077	1377813617	33554432	525336576
3	18	dp-pp	6927363955682564	6927364070408635	114726071	4	4
3	18	pp-dp	6927364070417915	6927364086185338	15767423	4	131334144
3	19	dp-pp	6927365498169817	6927365567900160	69730343	54534144	33554432
3	19	pp-dp	6927372794348975	6927374180146615	1385797640	33554432	525336576
3	19	dp-pp	6927376114388104	6927376233607827	119219723	4	4
3	19	pp-dp	6927376233617203	6927376247960582	14343379	4	4
4	10	dp-pp	6927254188680287	6927254265096015	76415728	54534144	33554432
4	10	pp-dp	6927261574085058	6927262848222819	1274137761	33554432	525336576
4	10	dp-pp	6927264941820605	6927265067904399	126083794	4	4
4	10	pp-dp	6927265067914095	6927265083764154	15850059	4	131334144
4	11	dp-pp	6927266504911886	6927266585531346	80619460	54534144	33554432
4	11	pp-dp	6927274023750592	6927275379961294	1356210702	33554432	525336576
4	11	dp-pp	6927277415917715	6927277520711584	104793869	4	4
4	11	pp-dp	6927277520721152	6927277536394443	15673291	4	131334144
4	12	dp-pp	6927278944319337	6927279041372847	97053510	54534144	33554432
4	12	pp-dp	6927286455313776	6927287834729612	1379415836	33554432	525336576
4	12	dp-pp	6927289877879478	6927289959631524	81752046	4	4
4	12	pp-dp	6927289959640996	6927289975264135	15623139	4	131334144
4	13	dp-pp	6927291432062473	6927291477908401	45845928	54534144	33554432
4	13	pp-dp	6927298756365543	6927299983759543	1227394000	33554432	525336576
4	13	dp-pp	6927302019939979	6927302127362934	107422955	4	4
4	13	pp-dp	6927302127372630	6927302143041151	15668521	4	131334144
4	14	dp-pp	6927303606957656	6927303652459248	45501592	54534144	33554432
4	14	pp-dp	6927311094896086	6927312320258182	1225362096	33554432	525336576
4	14	dp-pp	6927314376035010	6927314434881068	58846058	4	4
4	14	pp-dp	6927314434890636	6927314450618287	15727651	4	131334144
4	15	dp-pp	6927315839058137	6927315954090294	115032157	54534144	33554432
4	15	pp-dp	6927323246113683	6927324560027420	1313913737	33554432	525336576
4	15	dp-pp	6927326658959343	6927326767428919	108469576	4	4
4	15	pp-dp	6927326767438583	6927326783161506	15722923	4	131334144
4	16	dp-pp	6927328191556273	6927328299040040	107483767	54534144	33554432
4	16	pp-dp	6927335960203644	6927337186542164	1226338520	33554432	525336576
4	16	dp-pp	6927339216789868	6927339335410309	118620441	4	4
4	16	pp-dp	6927339335419749	6927339351114672	15694923	4	131334144
4	17	dp-pp	6927340742270987	6927340886402521	144131534	54534144	33554432
4	17	pp-dp	6927348540293923	6927349765092587	1224798664	33554432	525336576
4	17	dp-pp	6927351790770538	6927351839679025	48908487	4	4
4	17	pp-dp	6927351839688625	6927351855295902	15607277	4	131334144
4	18	dp-pp	6927353269394128	6927353368196672	98802544	54534144	33554432
4	18	pp-dp	6927360592484356	6927361997547510	1405063154	33554432	525336576
4	18	dp-pp	6927364045775041	6927364069957332	24182291	4	4
4	18	pp-dp	6927364069967028	6927364085505312	15538284	4	131334144
4	19	dp-pp	6927365522227252	6927365568154039	45926787	54534144	33554432
4	19	pp-dp	6927372952952710	6927374179467861	1226515151	33554432	525336576
4	19	dp-pp	6927376233284991	6927376233661024	376033	4	4
4	19	pp-dp	6927376233689791	6927376248646699	14956908	4	4
5	10	dp-pp	6927254219315115	6927254265109919	45794804	54534144	33554432
5	10	pp-dp	6927261622436356	6927262848214927	1225778571	33554432	525336576
5	10	dp-pp	6927264953171049	6927265067907095	114736046	4	4
5	10	pp-dp	6927265067916695	6927265083549297	15632602	4	131334144
5	11	dp-pp	6927266533884298	6927266585580407	51696109	54534144	33554432
5	11	pp-dp	6927274157090785	6927275379962439	1222871654	33554432	525336576
5	11	dp-pp	6927277436968394	6927277520714276	83745882	4	4
5	11	pp-dp	6927277520723844	6927277536322334	15598490	4	131334144
5	12	dp-pp	6927278995945939	6927279041423528	45477589	54534144	33554432
5	12	pp-dp	6927286609990851	6927287834790669	1224799818	33554432	525336576
5	12	dp-pp	6927289935171038	6927289959634815	24463777	4	4
5	12	pp-dp	6927289959644127	6927289975193786	15549659	4	131334144
5	13	dp-pp	6927291408339640	6927291477941397	69601757	54534144	33554432
5	13	pp-dp	6927298598362644	6927299983768565	1385405921	33554432	525336576
5	13	dp-pp	6927302098909298	6927302127365111	28455813	4	4
5	13	pp-dp	6927302127374487	6927302143027312	15652825	4	131334144
5	14	dp-pp	6927303595366254	6927303652500783	57134529	54534144	33554432
5	14	pp-dp	6927310975965621	6927312320263261	1344297640	33554432	525336576
5	14	dp-pp	6927314434512010	6927314435290660	778650	4	4
5	14	pp-dp	6927314435310468	6927314468751267	33440799	4	131334144
5	15	dp-pp	6927315908671018	6927315954146232	45475214	54534144	33554432
5	15	pp-dp	6927323161617668	6927324560025950	1398408282	33554432	525336576
5	15	dp-pp	6927326696306790	6927326767432239	71125449	4	4
5	15	pp-dp	6927326767442063	6927326782995784	15553721	4	131334144
5	16	dp-pp	6927328222630578	6927328299085656	76455078	54534144	33554432
5	16	pp-dp	6927335829912132	6927337186547775	1356635643	33554432	525336576
5	16	dp-pp	6927339335032396	6927339335881767	849371	4	4
5	16	pp-dp	6927339335901639	6927339384030186	48128547	4	131334144
5	17	dp-pp	6927340841079383	6927340886454637	45375254	54534144	33554432
5	17	pp-dp	6927348386410483	6927349765117363	1378706880	33554432	525336576
5	17	dp-pp	6927351839325520	6927351840089579	764059	4	4
5	17	pp-dp	6927351840122826	6927351878153392	38030566	4	131334144
5	18	dp-pp	6927353322844781	6927353368246275	45401494	54534144	33554432
5	18	pp-dp	6927360738755802	6927361997534539	1258778737	33554432	525336576
5	18	dp-pp	6927364069927783	6927364069960071	32288	4	4
5	18	pp-dp	6927364069969575	6927364107995570	38025995	4	131334144
5	19	dp-pp	6927365454618444	6927365568188672	113570228	54534144	33554432
5	19	pp-dp	6927372958212157	6927374179491142	1221278985	33554432	525336576
5	19	dp-pp	6927376230266449	6927376233316445	3049996	4	4
5	19	pp-dp	6927376233325981	6927376247682846	14356865	4	4
6	10	dp-pp	6927254214539538	6927254265157731	50618193	54534144	33554432
6	10	pp-dp	6927261560248545	6927262848236340	1287987795	33554432	525336576
6	10	dp-pp	6927265067531749	6927265068328739	796990	4	4
6	10	pp-dp	6927265068350627	6927265111686313	43335686	4	131334144
6	11	dp-pp	6927266540040737	6927266585575846	45535109	54534144	33554432
6	11	pp-dp	6927274027011576	6927275379966499	1352954923	33554432	525336576
6	11	dp-pp	6927277520347288	6927277521126326	779038	4	4
6	11	pp-dp	6927277521149686	6927277558638864	37489178	4	131334144
6	12	dp-pp	6927278942739919	6927279041468533	98728614	54534144	33554432
6	12	pp-dp	6927286490767523	6927287834787091	1344019568	33554432	525336576
6	12	dp-pp	6927289959601007	6927289959632463	31456	4	4
6	12	pp-dp	6927289959652175	6927289996115145	36462970	4	131334144
6	13	dp-pp	6927291365609947	6927291477984416	112374469	54534144	33554432
6	13	pp-dp	6927298738711859	6927299983782661	1245070802	33554432	525336576
6	13	dp-pp	6927302127048985	6927302127752440	703455	4	4
6	13	pp-dp	6927302127773336	6927302172442390	44669054	4	131334144
6	14	dp-pp	6927303561140731	6927303652527089	91386358	54534144	33554432
6	14	pp-dp	6927311086787253	6927312320281584	1233494331	33554432	525336576
6	14	dp-pp	6927314338719681	6927314434884086	96164405	4	4
6	14	pp-dp	6927314434893526	6927314450795817	15902291	4	131334144
6	15	dp-pp	6927315886879535	6927315954209011	67329476	54534144	33554432
