iteration	parallelism_type	start_ts	end_ts	duration_ns	kernel_name	collective_name	in_msg_nelems	group_desc	group_ranks	dtype
15	DP	6927316915631585	6927316990735646	75104061	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[9, 13]	BFloat16
15	DP	6927316990762142	6927317062142239	71380097	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[9, 13]	BFloat16
15	DP	6927317062144479	6927317136660157	74515678	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[9, 13]	BFloat16
15	DP	6927317136662237	6927317207722238	71060001	ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_allgather_base	27267072	mesh_dp_shard	[9, 13]	BFloat16
15	PP	6927318568883453	6927318582705041	13821588	ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<4096ul>)	NULL	NULL	NULL	NULL	NULL
15	DP	6927320574491910	6927320835521474	261029564	ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_reduce_scatter_base	131338240	mesh_dp_shard	[9, 13]	Float
15	DP	6927320835876482	6927320946282721	110406239	ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_reduce_scatter_base	54534144	mesh_dp_shard	[9, 13]	Float
15	DP	6927320946636641	6927321055957413	109320772	ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_reduce_scatter_base	54534144	mesh_dp_shard	[9, 13]	Float
15	DP	6927321090570952	6927321201601002	111030050	ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_reduce_scatter_base	54534144	mesh_dp_shard	[9, 13]	Float
15	DP	6927321241244361	6927321350882316	109637955	ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>)	_reduce_scatter_base	54534144	mesh_dp_shard	[9, 13]	Float
